Sch Src Name,Maincampus,Region,2021
GAVILAN COLLEGE,Santa Cruz,San Francisco Bay Area Region,2
CUESTA COLLEGE,Santa Cruz,South Central Coast,6
HARTNELL COLLEGE,Santa Cruz,San Francisco Bay Area Region,8
CANADA COLLEGE,Santa Cruz,San Francisco BayArea Region,8
MONTEREY PENINSULA COLLEGE,Santa Cruz,San Francisco BayArea Region,9
FRESNO CITY COLLEGE,Santa Cruz,Central Valley and Mother Lode Region,10
CABRILLO COLLEGE,Santa Cruz,San Francisco BayArea Region,13
WEST VALLEY COLLEGE,Santa Cruz,San Francisco Bay Area Region,15
TAFT COLLEGE,Santa Barbara,Central Valley and Mother Lode Region,1
ALLAN HANCOCK COLLEGE,Santa Barbara,South Central Coast,4
VENTURA COLLEGE,Santa Barbara,South Central Coast,20
MOORPARK COLLEGE,Santa Barbara,South Central Coast,48
SANTA BARBARA CITY COLLEGE,Santa Barbara,South Central Coast,76
COLLEGE OF THE REDWOODS,San Diego,North/Far North Region,4
IMPERIAL VALLEY COLLEGE,San Diego,San Diego/Imperial,40
CUYAMACA COLLEGE,San Diego,San Diego/Imperial,51
SAN DIEGO CITY COLLEGE,San Diego,San Diego/Imperial,72
SOUTHWESTERN COLLEGE,San Diego,San Diego/Imperial,73
GROSSMONT CMTY COLLEGE,San Diego,San Diego/Imperial,82
PALOMAR COLLEGE,San Diego,San Diego/Imperial,102
MIRACOSTA COLLEGE,San Diego,San Diego/Imperial,133
SAN DIEGO MIRAMAR COLLEGE,San Diego,San Diego/Imperial,150
SAN DIEGO MESA COLLEGE,San Diego,San Diego/Imperial,185
DE ANZA COLLEGE,San Diego,San Francisco Bay Area Region,206
COMPTON COLLEGE,Riverside,LOS ANGELES REGION,1
BARSTOW COLLEGE,Riverside,Island Empire Desert Region,1
MORENO VALLEY COLLEGE,Riverside,Island Empire Desert Region,2
COPPER MOUNTAIN COLLEGE,Riverside,Island Empire Desert Region,2
VICTOR VALLEY COLLEGE,Riverside,Island Empire Desert Region,4
SAN BERNARDINO VALLEY COLLEGE,Riverside,Island Empire Desert Region,5
COLLEGE OF THE SEQUOIAS,Riverside,Central Valley and Mother Lode Region,6
CRAFTON HILLS COLLEGE,Riverside,Island Empire Desert Region,8
NORCO COLLEGE,Riverside,Island Empire Desert Region,10
CHAFFEY COLLEGE,Riverside,Island Empire Desert Region,19
CHAFFEY COLLEGE,Riverside,Island Empire Desert Region,27
COLLEGE OF THE DESERT,Riverside,Island Empire Desert Region,28
RIVERSIDE CITY COLLEGE,Riverside,Island Empire Desert Region,39
MERCED COLLEGE,Merced,Central Valley and Mother Lode Region,5
REEDLEY COLLEGE,Los Angeles,Central Valley and Mother Lode Region,1
LOS ANGELES TRADE-TECH COLLEGE,Los Angeles,LOS ANGELES REGION,2
CERRO COSO COMMUNITY COLLEGE,Los Angeles,Central Valley and Mother Lode Region,2
LOS ANGELES SOUTHWEST COLLEGE,Los Angeles,LOS ANGELES REGION,4
LOS ANGELES MISSION COLLEGE,Los Angeles,LOS ANGELES REGION,7
ANTELOPE VALLEY COLLEGE,Los Angeles,South Central Coast,8
LOS ANGELES CITY COLLEGE,Los Angeles,LOS ANGELES REGION,9
LOS ANGELES HARBOR COLLEGE,Los Angeles,LOS ANGELES REGION,10
RIO HONDO COLLEGE,Los Angeles,LOS ANGELES REGION,11
LOS ANGELES VALLEY COLLEGE,Los Angeles,LOS ANGELES REGION,12
COLLEGE OF THE CANYONS,Los Angeles,South Central Coast,36
GLENDALE COMMUNITY COLLEGE,Los Angeles,LOS ANGELES REGION,38
LOS ANGELES PIERCE COLLEGE,Los Angeles,LOS ANGELES REGION,43
EL CAMINO COLLEGE,Los Angeles,LOS ANGELES REGION,58
PASADENA CITY COLLEGE,Los Angeles,LOS ANGELES REGION,183
SANTA MONICA COLLEGE,Los Angeles,LOS ANGELES REGION,194
COASTLINE COMMUNITY COLLEGE,Irvine,Orange County,3
BAKERSFIELD COLLEGE,Irvine,Central Valley and Mother Lode Region,4
SANTA ANA COLLEGE,Irvine,Orange County,12
CERRITOS COLLEGE,Irvine,LOS ANGELES REGION,13
GOLDEN WEST COLLEGE,Irvine,Orange County,18
CYPRESS COLLEGE,Irvine,Orange County,19
LONG BEACH CITY COLLEGE,Irvine,LOS ANGELES REGION,21
SANTIAGO CANYON COLLEGE,Irvine,Orange County,25
FULLERTON COLLEGE,Irvine,Orange County,27
EAST LOS ANGELES COLLEGE,Irvine,LOS ANGELES REGION,39
SADDLEBACK COLLEGE,Irvine,San Francisco Bay Area Region,48
ORANGE COAST COLLEGE,Irvine,Orange County,73
MT. SAN ANTONIO COLLEGE,Irvine,LOS ANGELES REGION,85
IRVINE VALLEY COLLEGE,Irvine,Orange County,107
WOODLAND COMMUNITY COLLEGE,Davis,North/Far North Region,2
SOLANO COMMUNITY COLLEGE,Davis,San Francisco Bay Area Region,2
SHASTA COLLEGE,Davis,North/Far North Region,2
MERRITT COLLEGE,Davis,San Francisco Bay Area Region,2
COLUMBIA COLLEGE,Davis,Central Valley and Mother Lode Region,2
SAN JOAQUIN DELTA COLLEGE,Davis,Central Valley and Mother Lode Region,4
LAKE TAHOE COMMUNITY COLLEGE,Davis,North/Far North Region,5
BUTTE COLLEGE,Davis,North/Far North Region,5
OXNARD COLLEGE,Davis,South Central Coast,6
COSUMNES RIVER COLLEGE,Davis,North/Far North Region,6
CONTRA COSTA COLLEGE,Davis,San Francisco Bay Area Region,6
NAPA VALLEY COLLEGE,Davis,San Francisco Bay Area Region,7
MODESTO JUNIOR COLLEGE,Davis,Central Valley and Mother Lode Region,8
EVERGREEN VALLEY COLLEGE,Davis,San Francisco Bay Area Region,8
SKYLINE COLLEGE,Davis,San Francisco Bay Area Region,10
MISSION COLLEGE,Davis,San Francisco Bay Area Region,10
LOS MEDANOS COLLEGE,Davis,San Francisco Bay Area Region,10
SACRAMENTO CITY COLLEGE,Davis,North/Far North Region,11
CLOVIS COMMUNITY COLLEGE,Davis,Central Valley and Mother Lode Region,11
SIERRA COLLEGE,Davis,North/Far North Region,12
FOLSOM LAKE COLLEGE,Davis,North/Far North Region,13
COLLEGE OF ALAMEDA,Davis,San Francisco Bay Area Region,13
AMERICAN RIVER COLLEGE,Davis,North/Far North Region,15
LAS POSITAS COLLEGE,Davis,San Francisco Bay Area Region,20
SANTA ROSA JUNIOR COLLEGE,Davis,San Francisco Bay Area Region,22
OHLONE COLLEGE,Davis,San Francisco Bay Area Region,33
COLLEGE OF SAN MATEO,Davis,San Francisco Bay Area Region,41
SAN JOSE CITY COLLEGE,Berkeley,San Francisco Bay Area Region,4
COLLEGE OF MARIN,Berkeley,San Francisco Bay Area Region,9
LANEY COLLEGE,Berkeley,San Francisco Bay Area Region,15
CHABOT COLLEGE,Berkeley,San Francisco Bay Area Region,17
BERKELEY CITY COLLEGE,Berkeley,San Francisco Bay Area Region,24
CITY COLLEGE SAN FRANCISCO,Berkeley,San Francisco Bay Area Region,29
FOOTHILL COLLEGE,Berkeley,San Francisco Bay Area Region,58
DIABLO VALLEY COLLEGE,Berkeley,San Francisco Bay Area Region,115
WEST HILLS COLLEGE COALINGA,Tie,Central Valley and Mother Lode Region,1
WEST HILLS COLLEGE LEMOORE,Tie,Central Valley and Mother Lode Region,2
WEST LOS ANGELES COLLEGE,Tie,LOS ANGELES REGION,11
CITRUS COLLEGE,Tie,LOS ANGELES REGION,43